grid_point,index,value,sampled_n
gp_2,N0,12.718,40
gp_2,N1,8.003801562026252,40
gp_2,N2,5.763780839919823,40
gp_2,E10,0.631375718535532,40
gp_2,E20,0.4566952167802149,40
gp_20,N0,10.594,40
gp_20,N1,6.508236034733543,40
gp_20,N2,4.585724771907888,40
gp_20,E10,0.6159458328726646,40
gp_20,E20,0.43677773475034065,40
gp_200,N0,5.594,40
gp_200,N1,3.3771333283174783,40
gp_200,N2,2.7677497903696904,40
gp_200,E10,0.6113355723678224,40
gp_200,E20,0.503741437753314,40
gp_201,N0,7.475,40
gp_201,N1,5.2714503546624725,40
gp_201,N2,4.237592966733694,40
gp_201,E10,0.7096980389302827,40
gp_201,E20,0.5729794121901322,40
gp_202,N0,3.429,40
gp_202,N1,2.577382395718139,40
gp_202,N2,2.200576039660061,40
gp_202,E10,0.764909723477999,40
gp_202,E20,0.6603065270173484,40
gp_203,N0,10.916,40
gp_203,N1,6.523029021431927,40
gp_203,N2,4.778202882480947,40
gp_203,E10,0.6009359244224558,40
gp_203,E20,0.44209401715023117,40
gp_204,N0,12.339,40
gp_204,N1,7.577731040491702,40
gp_204,N2,5.482942753459614,40
gp_204,E10,0.616565775484725,40
gp_204,E20,0.44733197365641897,40
gp_205,N0,18.142,40
gp_205,N1,12.562109839736268,40
gp_205,N2,9.490148836054948,40
gp_205,E10,0.693428591786763,40
gp_205,E20,0.5248967328690373,40
gp_206,N0,16.554,40
gp_206,N1,10.146162177171378,40
gp_206,N2,6.7366310390887785,40
gp_206,E10,0.6129043906630279,40
gp_206,E20,0.40764000275104456,40
gp_207,N0,8.164,40
gp_207,N1,5.28198263961631,40
gp_207,N2,4.01211060596668,40
gp_207,E10,0.6514515626506798,40
gp_207,E20,0.4981313391479179,40
gp_208,N0,14.924,40
gp_208,N1,8.607554112771497,40
gp_208,N2,6.294098761831902,40
gp_208,E10,0.5779046053491044,40
gp_208,E20,0.42429515723264244,40
gp_209,N0,14.748,40
gp_209,N1,10.518632792488974,40
gp_209,N2,8.409484068546409,40
gp_209,E10,0.7161011029847589,40
gp_209,E20,0.5746645843555414,40
gp_21,N0,12.14,40
gp_21,N1,7.603943780529205,40
gp_21,N2,5.641811591671289,40
gp_21,E10,0.6296322163323218,40
gp_21,E20,0.46980297695819295,40
gp_210,N0,13.783,40
gp_210,N1,7.2533199507454915,40
gp_210,N2,4.431582793048839,40
gp_210,E10,0.5274983151832964,40
gp_210,E20,0.32392418148900354,40
gp_211,N0,11.424,40
gp_211,N1,7.222189642375097,40
gp_211,N2,5.399125908560118,40
gp_211,E10,0.6347954998609343,40
gp_211,E20,0.4768022257655536,40
gp_212,N0,3.665,40
gp_212,N1,2.1974429637987622,40
gp_212,N2,1.7802672165843458,40
gp_212,E10,0.6073030832675386,40
gp_212,E20,0.4946075153038138,40
gp_213,N0,4.342,40
gp_213,N1,3.621054749480903,40
gp_213,N2,3.2848533320079576,40
gp_213,E10,0.839610571169817,40
gp_213,E20,0.7629810489688856,40
gp_214,N0,10.059,40
gp_214,N1,5.189918585812037,40
gp_214,N2,3.230641720205058,40
gp_214,E10,0.5190616828868798,40
gp_214,E20,0.3254057928186789,40
gp_215,N0,8.626,40
gp_215,N1,5.553982994726162,40
gp_215,N2,4.357299383739163,40
gp_215,E10,0.6492186531570211,40
gp_215,E20,0.5115464097677673,40
gp_216,N0,10.284,40
gp_216,N1,6.509674432952289,40
gp_216,N2,4.8261826277960465,40
gp_216,E10,0.6349712393065395,40
gp_216,E20,0.4719901539548023,40
gp_217,N0,13.781,40
gp_217,N1,9.847377830369222,40
gp_217,N2,8.036269756810219,40
gp_217,E10,0.717271724354798,40
gp_217,E20,0.5869545779508936,40
gp_218,N0,8.404,40
gp_218,N1,5.864709821388702,40
gp_218,N2,4.813328996503562,40
gp_218,E10,0.7033561639821846,40
gp_218,E20,0.5803424346946675,40
gp_219,N0,6.445,40
gp_219,N1,4.762119745337179,40
gp_219,N2,4.024497140135329,40
gp_219,E10,0.7465271792748067,40
gp_219,E20,0.6364562463289546,40
gp_22,N0,11.271,40
gp_22,N1,7.699078902486317,40
gp_22,N2,6.058824459308222,40
gp_22,E10,0.6864104790202353,40
gp_22,E20,0.5430363545632402,40
gp_220,N0,15.378,40
gp_220,N1,8.031160576577005,40
gp_220,N2,5.273517343473338,40
gp_220,E10,0.5245905358815257,40
gp_220,E20,0.346768736570976,40
gp_221,N0,13.731,40
gp_221,N1,7.691505744028907,40
gp_221,N2,5.22089244029683,40
gp_221,E10,0.5622857577371481,40
gp_221,E20,0.3833535703661344,40
gp_222,N0,8.846,40
gp_222,N1,6.433142823049632,40
gp_222,N2,5.227858189024206,40
gp_222,E10,0.7302848049194448,40
gp_222,E20,0.5959288916845291,40
gp_223,N0,8.468,40
gp_223,N1,5.705982593869551,40
gp_223,N2,4.513500578765271,40
gp_223,E10,0.6780447205868346,40
gp_223,E20,0.5394116797267872,40
gp_224,N0,5.559,40
gp_224,N1,4.282331743701306,40
gp_224,N2,3.732861090842971,40
gp_224,E10,0.7786317306240149,40
gp_224,E20,0.6816955310194727,40
gp_225,N0,13.201,40
gp_225,N1,6.983411809274099,40
gp_225,N2,4.655749599914527,40
gp_225,E10,0.5318305554471332,40
gp_225,E20,0.35666227870705164,40
gp_226,N0,5.742,40
